Order ID,Order Date,Ship Date,Ship Mode,Customer ID
US-2023-103800,01/03/2023,01/07/2023,Standard Class,DP-13000
US-2023-112326,01/04/2023,01/08/2023,Standard Class,PO-19195
US-2023-112326,01/04/2023,01/08/2023,Standard Class,PO-19195
US-2023-112326,01/04/2023,01/08/2023,Standard Class,PO-19195
US-2023-141817,01/05/2023,01/12/2023,Standard Class,MB-18085
US-2023-167199,01/06/2023,01/10/2023,Standard Class,ME-17320
US-2023-167199,01/06/2023,01/10/2023,Standard Class,ME-17320
US-2023-106054,01/06/2023,01/07/2023,First Class,JO-15145
US-2023-167199,01/06/2023,01/10/2023,Standard Class,ME-17320
US-2023-167199,01/06/2023,01/10/2023,Standard Class,ME-17320
US-2023-167199,01/06/2023,01/10/2023,Standard Class,ME-17320
US-2023-130813,01/06/2023,01/08/2023,Second Class,LS-17230
US-2023-167199,01/06/2023,01/10/2023,Standard Class,ME-17320
US-2023-167199,01/06/2023,01/10/2023,Standard Class,ME-17320
US-2023-105417,01/07/2023,01/12/2023,Standard Class,VS-21820
US-2023-105417,01/07/2023,01/12/2023,Standard Class,VS-21820
US-2023-135405,01/09/2023,01/13/2023,Standard Class,MS-17830
US-2023-135405,01/09/2023,01/13/2023,Standard Class,MS-17830
US-2023-149020,01/10/2023,01/15/2023,Standard Class,AJ-10780
US-2023-149020,01/10/2023,01/15/2023,Standard Class,AJ-10780
US-2023-130092,01/11/2023,01/14/2023,First Class,SV-20365
US-2023-157147,01/13/2023,01/18/2023,Standard Class,BD-11605
US-2023-109232,01/13/2023,01/16/2023,Second Class,ND-18370
US-2023-157147,01/13/2023,01/18/2023,Standard Class,BD-11605
US-2023-118192,01/13/2023,01/18/2023,Standard Class,MM-17920
US-2023-162775,01/13/2023,01/15/2023,Second Class,CS-12250
US-2023-162775,01/13/2023,01/15/2023,Second Class,CS-12250
US-2023-162775,01/13/2023,01/15/2023,Second Class,CS-12250
US-2023-118192,01/13/2023,01/18/2023,Standard Class,MM-17920
US-2023-162775,01/13/2023,01/15/2023,Second Class,CS-12250
US-2023-157147,01/13/2023,01/18/2023,Standard Class,BD-11605
US-2023-162775,01/13/2023,01/15/2023,Second Class,CS-12250
US-2023-149524,01/14/2023,01/15/2023,First Class,BS-11590
US-2023-103366,01/15/2023,01/17/2023,First Class,EH-13990
US-2023-115791,01/16/2023,01/18/2023,Second Class,DL-13315
US-2023-115791,01/16/2023,01/18/2023,Second Class,DL-13315
US-2023-115791,01/16/2023,01/18/2023,Second Class,DL-13315
US-2023-115791,01/16/2023,01/18/2023,Second Class,DL-13315
US-2023-123477,01/18/2023,01/21/2023,Second Class,DW-13195
US-2023-146591,01/19/2023,01/20/2023,First Class,TS-21340
US-2023-146591,01/19/2023,01/20/2023,First Class,TS-21340
US-2023-146591,01/19/2023,01/20/2023,First Class,TS-21340
US-2023-146591,01/19/2023,01/20/2023,First Class,TS-21340
US-2023-147627,01/20/2023,01/26/2023,Standard Class,HL-15040
US-2023-167927,01/20/2023,01/26/2023,Standard Class,XP-21865
US-2023-167927,01/20/2023,01/26/2023,Standard Class,XP-21865
US-2023-147627,01/20/2023,01/26/2023,Standard Class,HL-15040
US-2023-148614,01/20/2023,01/25/2023,Standard Class,MV-17485
US-2023-167927,01/20/2023,01/26/2023,Standard Class,XP-21865
US-2023-147627,01/20/2023,01/26/2023,Standard Class,HL-15040
US-2023-147627,01/20/2023,01/26/2023,Standard Class,HL-15040
US-2023-167927,01/20/2023,01/26/2023,Standard Class,XP-21865
US-2023-167927,01/20/2023,01/26/2023,Standard Class,XP-21865
